,match,day_of_week,date,hour,venue,referee,group,1,2,attendance,1_expected_goals,2_expected_goals,1_poss,2_poss,1_goals,2_goals,1_attempts,2_attempts,1_conceded,2_conceded,1_goal_inside_penalty_area,2_goal_inside_penalty_area,1_goal_outside_penalty_area,2_goal_outside_penalty_area,1_offtarget,2_offtarget,1_attempts_inside_penalty_area,2_attempts_inside_penalty_area,1_attempts_outside_penalty_area,2_attempts_outside_penalty_area,1_offsides,2_offsides,1_goal_prevented,2_goal_prevented,1_own_goal,2_own_goal,1_forced_turnovers,2_forced_turnovers,1_defensive_pressure_applied,2_defensive_pressure_applied,team1_completed_passes,team1_attempted_pases,team2_completed_passes,team2_attempted_pases,team1_shots_on_target,team2_shots_on_target,team1_total_shots,team2_total_shots,team1_saves,team2_saves,team1_fouls,team2_fouls,team1_corners,team2_corners,team1_crosses,team2_crosses,team1_tackles,team2_tackles,team1_interceptions,team2_interceptions,team1_aerials_won,team2_aerials_won,team1_clearances,team2_clearances,team1_offsides,team2_offsides,penalties scored team1,penalties scored team2,free kicks team1,free kicks team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2
0,1,Sun,20-Nov-22,17:00,Al Bayt Stadium,Daniele Orsato,Group A,QATAR,ECUADOR,67372,0.3,1.2,47,53,0,2,5,6,2,0,0,2,0,0,5,3,2,4,3,2,3,4,6,5,0,0,52,72,256,279,377.0,469.0,430.0,522.0,0.0,2.0,5.0,5.0,1.0,0.0,15.0,15.0,1.0,3.0,8.0,14.0,10.0,14.0,2.0,12.0,14.0,13.0,18.0,7.0,3.0,4.0,0.0,1.0,19.0,17.0,4.0,2.0,0.0,0.0
1,2,Mon,21-Nov-22,14:00,Khalifa International Stadium,Raphael Claus,Group B,ENGLAND,IRAN,45334,2.1,1.4,77,23,6,2,13,8,2,6,6,2,0,0,3,4,10,6,3,2,2,2,8,13,0,0,63,72,139,416,740.0,838.0,162.0,248.0,7.0,2.0,13.0,7.0,1.0,1.0,9.0,14.0,8.0,0.0,21.0,8.0,13.0,12.0,7.0,16.0,10.0,10.0,4.0,23.0,2.0,2.0,0.0,1.0,16.0,10.0,0.0,2.0,0.0,0.0
2,3,Mon,21-Nov-22,17:00,Al Thumama Stadium,Wilton Sampaio,Group A,SENEGAL,NETHERLANDS,41721,0.9,0.7,46,54,0,2,14,9,2,0,0,2,0,0,8,5,7,5,7,4,2,1,9,15,0,0,63,73,263,251,333.0,427.0,387.0,494.0,4.0,3.0,15.0,10.0,1.0,4.0,13.0,13.0,6.0,7.0,19.0,25.0,14.0,10.0,10.0,6.0,22.0,20.0,32.0,16.0,2.0,1.0,0.0,0.0,14.0,14.0,2.0,1.0,0.0,0.0
3,4,Mon,21-Nov-22,20:00,Ahmed bin Ali Stadium,Abdulrahman Ibrahim Al Jassim,Group B,UNITED STATES,WALES,43418,0.8,1.5,58,42,1,1,6,7,1,1,1,1,0,0,4,3,4,5,2,2,1,1,7,7,0,0,81,72,242,292,524.0,624.0,335.0,446.0,1.0,2.0,6.0,6.0,2.0,0.0,15.0,10.0,5.0,3.0,30.0,14.0,14.0,18.0,6.0,8.0,14.0,12.0,18.0,31.0,1.0,1.0,0.0,1.0,11.0,15.0,4.0,2.0,0.0,0.0
4,5,Tue,22-Nov-22,11:00,Lusail Iconic Stadium,Slavko Vincic,Group C,ARGENTINA,SAUDI ARABIA,88012,2.2,0.1,69,31,1,2,14,3,2,1,1,2,0,0,5,0,10,3,4,0,10,1,4,14,0,0,65,80,163,361,546.0,659.0,195.0,294.0,5.0,2.0,14.0,3.0,0.0,5.0,7.0,21.0,9.0,2.0,23.0,10.0,17.0,18.0,9.0,14.0,16.0,7.0,11.0,26.0,10.0,1.0,1.0,0.0,22.0,16.0,0.0,6.0,0.0,0.0
5,6,Tue,22-Nov-22,14:00,Education City Stadium,Cesar Ramos,Group D,DENMARK,TUNISIA,42925,1.4,0.9,61,39,0,0,11,11,0,0,0,0,0,0,4,7,7,6,4,5,1,1,11,11,0,0,76,73,226,287,533.0,649.0,308.0,419.0,5.0,1.0,11.0,13.0,1.0,5.0,9.0,10.0,11.0,9.0,25.0,13.0,12.0,24.0,11.0,8.0,20.0,13.0,12.0,38.0,1.0,1.0,0.0,0.0,11.0,10.0,2.0,1.0,0.0,0.0
6,7,Tue,22-Nov-22,17:00,Stadium 974,Chris Beath,Group C,MEXICO,POLAND,39369,0.7,0.9,60,40,0,0,13,8,0,0,0,0,0,0,5,4,10,7,3,1,3,0,8,15,0,0,61,70,193,290,436.0,547.0,255.0,363.0,4.0,1.0,11.0,5.0,1.0,4.0,14.0,15.0,6.0,5.0,33.0,15.0,16.0,17.0,5.0,8.0,16.0,18.0,19.0,29.0,3.0,0.0,0.0,0.0,16.0,16.0,2.0,1.0,0.0,0.0
7,8,Tue,22-Nov-22,20:00,Al Janoub Stadium,Victor Gomes,Group D,FRANCE,AUSTRALIA,40875,4.0,0.5,62,38,4,1,22,4,1,4,4,1,0,0,9,3,18,2,4,2,0,0,4,22,0,0,64,56,250,316,678.0,768.0,391.0,473.0,6.0,1.0,23.0,4.0,0.0,2.0,5.0,11.0,8.0,1.0,27.0,6.0,20.0,13.0,12.0,9.0,16.0,8.0,6.0,23.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,3.0,0.0,0.0
8,9,Wed,23-Nov-22,11:00,Al Bayt Stadium,Fernando Rapallini,Group F,MOROCCO,CROATIA,59407,0.4,0.5,36,64,0,0,8,6,0,0,0,0,0,0,0,2,3,4,5,2,0,1,7,8,0,0,87,58,391,217,298.0,384.0,581.0,693.0,2.0,1.0,8.0,5.0,1.0,2.0,16.0,11.0,0.0,5.0,8.0,18.0,21.0,17.0,13.0,10.0,14.0,12.0,21.0,11.0,0.0,1.0,0.0,0.0,12.0,17.0,1.0,0.0,0.0,0.0
9,10,Wed,23-Nov-22,14:00,Khalifa International Stadium,Ivan Barton,Group E,GERMANY,JAPAN,42608,3.1,1.5,74,26,1,2,25,10,2,1,1,2,0,0,11,6,15,10,10,0,4,4,12,26,0,0,55,87,164,487,727.0,836.0,204.0,298.0,8.0,4.0,25.0,12.0,2.0,8.0,6.0,14.0,6.0,6.0,25.0,11.0,11.0,29.0,3.0,6.0,21.0,12.0,4.0,38.0,4.0,4.0,1.0,0.0,17.0,10.0,0.0,0.0,0.0,0.0
10,11,Wed,23-Nov-22,17:00,Al Thumama Stadium,Mohammed Abdulla Hassan,Group E,SPAIN,COSTA RICA,40013,3.5,0.0,81,19,7,0,17,0,0,7,7,0,0,0,8,0,12,0,5,0,3,7,0,17,0,0,46,76,185,585,1009.0,1093.0,178.0,256.0,7.0,0.0,16.0,0.0,0.0,1.0,8.0,12.0,5.0,0.0,15.0,4.0,14.0,21.0,4.0,14.0,9.0,13.0,4.0,18.0,3.0,7.0,1.0,0.0,18.0,11.0,0.0,2.0,0.0,0.0
11,12,Wed,23-Nov-22,20:00,Ahmed bin Ali Stadium,Janny Sikazwe,Group F,BELGIUM,CANADA,40432,0.8,2.4,53,47,1,0,9,21,0,1,1,0,0,0,6,12,6,16,3,5,0,1,21,9,0,0,74,47,284,320,451.0,546.0,392.0,485.0,3.0,2.0,9.0,21.0,2.0,2.0,11.0,14.0,4.0,4.0,7.0,19.0,19.0,13.0,3.0,5.0,8.0,7.0,29.0,4.0,0.0,1.0,0.0,0.0,15.0,10.0,3.0,2.0,0.0,0.0
12,13,Thu,24-Nov-22,11:00,Al Janoub Stadium,Facundo Tello,Group G,SWITZERLAND,CAMEROON,39089,1.4,0.7,51,49,1,0,8,7,0,1,1,0,0,0,4,2,6,6,2,1,2,2,7,8,0,0,64,79,313,316,455.0,558.0,442.0,537.0,3.0,5.0,7.0,8.0,5.0,2.0,12.0,10.0,11.0,5.0,20.0,23.0,15.0,12.0,3.0,11.0,14.0,12.0,20.0,17.0,2.0,2.0,0.0,0.0,11.0,14.0,2.0,1.0,0.0,0.0
13,14,Thu,24-Nov-22,14:00,Education City Stadium,Clement Turpin,Group H,URUGUAY,KOREA REPUBLIC,41663,0.6,0.6,56,44,0,0,10,6,0,0,0,0,0,0,6,5,7,1,3,5,1,0,6,10,0,0,65,54,240,231,475.0,585.0,350.0,467.0,1.0,0.0,10.0,7.0,0.0,1.0,7.0,10.0,4.0,3.0,13.0,19.0,16.0,12.0,10.0,10.0,25.0,21.0,20.0,16.0,1.0,0.0,0.0,0.0,10.0,8.0,1.0,1.0,0.0,0.0
14,15,Thu,24-Nov-22,17:00,Stadium 974,Ismail Elfath,Group H,PORTUGAL,GHANA,42662,2.0,0.9,62,38,3,2,11,8,2,3,3,2,0,0,3,5,7,2,4,6,1,1,8,11,0,0,70,82,286,326,573.0,660.0,328.0,413.0,4.0,3.0,10.0,9.0,1.0,2.0,14.0,19.0,3.0,3.0,20.0,11.0,16.0,14.0,5.0,6.0,19.0,7.0,15.0,17.0,1.0,1.0,1.0,0.0,19.0,15.0,2.0,4.0,0.0,0.0
15,16,Thu,24-Nov-22,20:00,Lusail Iconic Stadium,Alireza Faghani,Group G,BRAZIL,SERBIA,88103,2.4,0.2,59,41,2,0,24,4,0,2,2,0,0,0,9,3,11,1,13,3,1,0,4,24,0,0,72,71,236,338,534.0,628.0,344.0,439.0,9.0,0.0,23.0,5.0,0.0,7.0,7.0,12.0,6.0,4.0,17.0,13.0,17.0,24.0,2.0,11.0,8.0,11.0,16.0,22.0,1.0,0.0,0.0,0.0,12.0,8.0,0.0,3.0,0.0,0.0
16,17,Fri,25-Nov-22,11:00,Ahmed bin Ali Stadium,Mario Escobar,Group B,WALES,IRAN,40875,0.9,1.4,62,38,0,2,10,21,2,0,0,1,0,1,4,6,5,7,5,14,2,2,21,9,0,0,89,84,161,276,437.0,568.0,222.0,350.0,3.0,6.0,10.0,21.0,4.0,3.0,9.0,10.0,2.0,7.0,20.0,24.0,10.0,19.0,6.0,14.0,21.0,15.0,30.0,20.0,2.0,2.0,0.0,0.0,12.0,11.0,1.0,2.0,1.0,0.0
17,18,Fri,25-Nov-22,14:00,Al Thumama Stadium,Antonio Mateu Lahoz,Group A,QATAR,SENEGAL,41797,1.0,0.8,45,55,1,3,10,12,3,1,1,3,0,0,7,6,4,10,6,2,4,3,12,11,0,0,67,67,308,232,333.0,417.0,459.0,548.0,3.0,5.0,10.0,13.0,2.0,2.0,7.0,12.0,6.0,6.0,20.0,18.0,16.0,8.0,10.0,5.0,12.0,15.0,16.0,18.0,4.0,3.0,0.0,0.0,15.0,11.0,3.0,3.0,0.0,0.0
18,19,Fri,25-Nov-22,17:00,Khalifa International Stadium,Mustapha Ghorbal,Group A,NETHERLANDS,ECUADOR,44833,0.1,1.7,54,46,1,1,2,13,1,1,0,1,1,0,1,3,0,8,2,5,1,4,14,2,0,0,85,52,254,279,442.0,542.0,358.0,468.0,1.0,4.0,2.0,15.0,3.0,0.0,15.0,12.0,2.0,5.0,7.0,22.0,25.0,16.0,9.0,9.0,18.0,15.0,23.0,16.0,1.0,4.0,0.0,0.0,16.0,16.0,0.0,1.0,0.0,0.0
19,20,Fri,25-Nov-22,20:00,Al Bayt Stadium,Jesús Valenzuela Sáez,Group B,ENGLAND,UNITED STATES,68463,0.8,0.6,55,45,0,0,8,10,0,0,0,0,0,0,4,7,6,6,2,4,1,0,10,8,0,0,52,61,266,350,495.0,577.0,378.0,463.0,3.0,1.0,8.0,10.0,1.0,3.0,9.0,15.0,3.0,7.0,14.0,16.0,9.0,12.0,9.0,3.0,11.0,10.0,21.0,15.0,1.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0
20,21,Sat,26-Nov-22,11:00,Al Janoub Stadium,Daniel Siebert,Group D,TUNISIA,AUSTRALIA,41823,0.9,0.6,59,41,0,1,13,8,1,0,0,1,0,0,5,3,9,5,4,3,3,0,9,13,0,0,81,88,217,273,418.0,565.0,264.0,398.0,4.0,2.0,14.0,9.0,1.0,4.0,16.0,15.0,5.0,2.0,25.0,21.0,18.0,19.0,8.0,11.0,26.0,24.0,24.0,38.0,3.0,0.0,0.0,0.0,15.0,19.0,3.0,0.0,0.0,0.0
21,22,Sat,26-Nov-22,14:00,Education City Stadium,Wilton Sampaio,Group C,POLAND,SAUDI ARABIA,44259,1.6,1.7,37,63,2,0,8,16,0,2,2,0,0,0,3,9,8,9,0,7,0,0,16,9,0,0,69,53,329,173,249.0,337.0,483.0,582.0,3.0,4.0,9.0,15.0,4.0,1.0,18.0,15.0,4.0,5.0,16.0,20.0,13.0,14.0,9.0,9.0,15.0,20.0,29.0,13.0,0.0,0.0,0.0,0.0,15.0,17.0,3.0,2.0,0.0,0.0
22,23,Sat,26-Nov-22,17:00,Stadium 974,Szymon Marciniak,Group D,FRANCE,DENMARK,42860,2.4,0.6,49,51,2,1,21,10,1,2,2,1,0,0,8,6,16,5,5,5,1,1,10,21,0,0,79,61,269,282,455.0,539.0,485.0,572.0,6.0,2.0,21.0,10.0,1.0,4.0,4.0,9.0,6.0,4.0,20.0,16.0,20.0,19.0,10.0,5.0,9.0,14.0,15.0,18.0,1.0,1.0,0.0,0.0,10.0,5.0,1.0,2.0,0.0,0.0
23,24,Sat,26-Nov-22,20:00,Lusail Iconic Stadium,Daniele Orsato,Group C,ARGENTINA,MEXICO,88966,0.3,0.3,58,42,2,0,5,4,0,2,1,0,1,0,3,2,2,1,3,3,2,4,4,5,0,0,63,79,220,327,471.0,568.0,304.0,409.0,2.0,1.0,5.0,4.0,1.0,0.0,15.0,19.0,4.0,2.0,13.0,15.0,14.0,18.0,7.0,13.0,15.0,14.0,18.0,17.0,2.0,4.0,0.0,0.0,23.0,17.0,1.0,4.0,0.0,0.0
24,25,Sun,27-Nov-22,11:00,Ahmed bin Ali Stadium,Michael Oliver,Group E,JAPAN,COSTA RICA,41479,0.9,0.1,57,43,0,1,14,4,1,0,0,1,0,0,4,1,7,1,7,3,0,2,4,14,0,0,47,66,300,294,528.0,619.0,371.0,473.0,3.0,1.0,13.0,4.0,0.0,3.0,22.0,9.0,5.0,0.0,14.0,6.0,17.0,25.0,4.0,9.0,12.0,13.0,7.0,20.0,0.0,2.0,0.0,0.0,11.0,22.0,3.0,3.0,0.0,0.0
25,26,Sun,27-Nov-22,14:00,Al Thumama Stadium,Cesar Ramos,Group F,BELGIUM,MOROCCO,43738,1.0,1.5,67,33,0,2,10,11,2,0,0,2,0,0,6,6,5,6,5,5,3,3,11,10,0,0,38,78,194,360,602.0,701.0,287.0,351.0,3.0,4.0,10.0,10.0,2.0,3.0,10.0,14.0,9.0,1.0,22.0,8.0,15.0,22.0,7.0,9.0,15.0,11.0,5.0,24.0,3.0,3.0,0.0,0.0,17.0,13.0,1.0,1.0,0.0,0.0
26,27,Sun,27-Nov-22,17:00,Khalifa International Stadium,Andrés Matonte,Group F,CROATIA,CANADA,44374,2.6,0.4,49,51,4,1,13,9,1,4,3,1,1,0,2,3,9,2,4,7,1,3,9,13,0,0,87,72,347,316,402.0,498.0,435.0,528.0,10.0,2.0,13.0,8.0,1.0,6.0,13.0,5.0,5.0,2.0,21.0,16.0,25.0,15.0,10.0,6.0,6.0,13.0,19.0,29.0,1.0,3.0,0.0,0.0,8.0,14.0,2.0,2.0,0.0,0.0
27,28,Sun,27-Nov-22,20:00,Al Bayt Stadium,Danny Makkelie,Group E,SPAIN,GERMANY,68895,0.6,1.3,64,36,1,1,7,10,1,1,1,1,0,0,4,5,3,7,4,3,2,5,11,7,0,0,79,101,275,387,569.0,670.0,287.0,381.0,3.0,4.0,7.0,11.0,3.0,2.0,13.0,11.0,6.0,5.0,6.0,11.0,17.0,29.0,8.0,13.0,9.0,6.0,13.0,12.0,2.0,5.0,0.0,0.0,16.0,15.0,1.0,3.0,0.0,0.0
28,29,Mon,28-Nov-22,11:00,Al Janoub Stadium,Mohammed Abdulla Hassan,Group G,CAMEROON,SERBIA,39789,2.2,1.9,41,59,3,3,13,16,3,3,3,2,0,1,3,8,9,11,4,5,0,4,16,13,0,0,83,81,285,234,271.0,390.0,437.0,556.0,8.0,5.0,13.0,15.0,2.0,5.0,8.0,13.0,4.0,3.0,19.0,21.0,8.0,16.0,19.0,5.0,15.0,13.0,22.0,18.0,0.0,4.0,0.0,0.0,17.0,8.0,2.0,2.0,0.0,0.0
