,match,day_of_week,date,hour,venue,referee,group,1,2,attendance,1_expected_goals,2_expected_goals,1_poss,2_poss,1_goals,2_goals,1_attempts,2_attempts,1_conceded,2_conceded,1_goal_inside_penalty_area,2_goal_inside_penalty_area,1_goal_outside_penalty_area,2_goal_outside_penalty_area,1_offtarget,2_offtarget,1_attempts_inside_penalty_area,2_attempts_inside_penalty_area,1_attempts_outside_penalty_area,2_attempts_outside_penalty_area,1_offsides,2_offsides,1_goal_prevented,2_goal_prevented,1_own_goal,2_own_goal,1_forced_turnovers,2_forced_turnovers,1_defensive_pressure_applied,2_defensive_pressure_applied,team1_completed_passes,team1_attempted_pases,team2_completed_passes,team2_attempted_pases,team1_shots_on_target,team2_shots_on_target,team1_total_shots,team2_total_shots,team1_saves,team2_saves,team1_fouls,team2_fouls,team1_corners,team2_corners,team1_crosses,team2_crosses,team1_tackles,team2_tackles,team1_interceptions,team2_interceptions,team1_aerials_won,team2_aerials_won,team1_clearances,team2_clearances,team1_offsides,team2_offsides,penalties scored team1,penalties scored team2,free kicks team1,free kicks team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2
29,30,Mon,28-Nov-22,14:00,Education City Stadium,Anthony Taylor,Group H,KOREA REPUBLIC,GHANA,43983,1.8,1.6,63,37,2,3,21,8,3,2,2,3,0,0,8,3,15,7,6,1,1,1,8,21,0,0,53,75,220,324,494.0,601.0,270.0,351.0,6.0,3.0,22.0,7.0,0.0,4.0,13.0,9.0,12.0,5.0,46.0,15.0,15.0,17.0,2.0,6.0,22.0,18.0,19.0,50.0,1.0,1.0,0.0,0.0,10.0,14.0,2.0,2.0,0.0,0.0
30,31,Mon,28-Nov-22,17:00,Stadium 974,Ivan Barton,Group G,BRAZIL,SWITZERLAND,43649,1.0,0.3,54,46,1,0,9,4,0,1,1,0,0,0,2,1,6,2,3,2,3,1,4,9,0,0,85,80,282,344,511.0,604.0,423.0,517.0,5.0,0.0,13.0,6.0,0.0,4.0,10.0,17.0,8.0,3.0,25.0,9.0,21.0,18.0,10.0,4.0,8.0,5.0,9.0,26.0,3.0,1.0,0.0,0.0,18.0,13.0,1.0,1.0,0.0,0.0
31,32,Mon,28-Nov-22,20:00,Lusail Iconic Stadium,Alireza Faghani,Group H,PORTUGAL,URUGUAY,88668,1.3,1.3,59,41,2,0,14,10,0,2,1,0,1,0,7,6,4,6,10,4,2,0,11,14,0,0,68,81,226,362,525.0,643.0,315.0,438.0,2.0,3.0,14.0,11.0,3.0,1.0,10.0,16.0,6.0,2.0,15.0,17.0,10.0,12.0,7.0,12.0,15.0,7.0,17.0,12.0,3.0,0.0,1.0,0.0,15.0,13.0,3.0,2.0,0.0,0.0
32,33,Tue,29-Nov-22,16:00,Khalifa International Stadium,Clement Turpin,Group A,NETHERLANDS,QATAR,44569,0.9,2.1,61,39,2,0,13,6,0,2,2,0,0,0,5,2,10,2,3,4,4,0,5,14,0,0,62,52,319,322,365.0,482.0,203.0,312.0,4.0,2.0,9.0,13.0,1.0,3.0,23.0,11.0,3.0,6.0,21.0,21.0,15.0,10.0,7.0,10.0,21.0,17.0,19.0,29.0,0.0,3.0,0.0,0.0,9.0,24.0,1.0,0.0,0.0,0.0
33,34,Tue,29-Nov-22,16:00,Al Bayt Stadium,Bakary Papa Gassama,Group A,ECUADOR,SENEGAL,66784,1.6,0.1,63,37,1,2,8,15,2,1,1,2,0,0,3,8,5,11,3,4,0,3,15,8,0,0,59,62,190,243,739.0,814.0,364.0,451.0,4.0,3.0,13.0,5.0,3.0,2.0,19.0,9.0,4.0,2.0,6.0,14.0,16.0,9.0,10.0,12.0,10.0,7.0,11.0,9.0,5.0,0.0,0.0,1.0,14.0,22.0,0.0,1.0,0.0,0.0
34,35,Tue,29-Nov-22,20:00,Ahmed bin Ali Stadium,Slavko Vincic,Group B,WALES,ENGLAND,44297,0.3,2.4,36,64,0,3,7,17,3,0,0,2,0,1,3,6,1,13,6,4,1,1,17,8,0,0,49,56,328,167,272.0,352.0,545.0,626.0,1.0,7.0,7.0,18.0,4.0,1.0,16.0,9.0,1.0,6.0,2.0,14.0,12.0,6.0,7.0,5.0,9.0,12.0,17.0,7.0,1.0,1.0,0.0,0.0,10.0,17.0,2.0,0.0,0.0,0.0
35,36,Tue,29-Nov-22,20:00,Al Thumama Stadium,Antonio Mateu Lahoz,Group B,IRAN,UNITED STATES,42127,0.4,1.2,49,51,0,1,6,12,1,0,0,1,0,0,4,4,5,8,1,4,2,1,13,6,0,0,63,74,295,302,385.0,508.0,417.0,524.0,0.0,5.0,4.0,12.0,4.0,0.0,14.0,10.0,1.0,5.0,16.0,20.0,22.0,12.0,12.0,5.0,18.0,18.0,18.0,21.0,2.0,1.0,0.0,0.0,11.0,15.0,3.0,1.0,0.0,0.0
36,37,Wed,30-Nov-22,16:00,Al Janoub Stadium,Mustapha Ghorbal,Group D,AUSTRALIA,DENMARK,41232,0.6,0.6,32,68,1,0,8,14,0,1,1,0,0,0,2,7,3,11,5,3,1,3,14,8,0,0,90,74,341,161,215.0,348.0,580.0,723.0,4.0,3.0,8.0,13.0,3.0,3.0,11.0,10.0,2.0,6.0,11.0,26.0,15.0,11.0,12.0,7.0,26.0,17.0,33.0,19.0,1.0,3.0,0.0,0.0,13.0,12.0,2.0,1.0,0.0,0.0
37,38,Wed,30-Nov-22,16:00,Education City Stadium,Matt Conger,Group D,TUNISIA,FRANCE,43627,0.5,0.8,35,65,1,0,5,9,0,1,0,0,1,0,2,4,2,4,3,5,3,2,11,6,0,0,68,80,400,202,272.0,368.0,573.0,676.0,3.0,3.0,5.0,10.0,3.0,2.0,14.0,6.0,7.0,8.0,23.0,19.0,22.0,37.0,9.0,13.0,9.0,13.0,23.0,21.0,3.0,2.0,0.0,0.0,8.0,17.0,1.0,0.0,0.0,0.0
38,39,Wed,30-Nov-22,20:00,Lusail Iconic Stadium,Michael Oliver,Group C,POLAND,ARGENTINA,84985,1.1,2.3,40,60,0,2,4,25,2,0,0,2,0,0,2,8,2,21,2,4,0,0,25,4,0,0,67,48,438,141,192.0,329.0,357.0,494.0,2.0,10.0,10.0,26.0,8.0,1.0,20.0,18.0,1.0,8.0,9.0,31.0,15.0,16.0,8.0,7.0,18.0,18.0,28.0,12.0,2.0,6.0,0.0,0.0,12.0,5.0,1.0,1.0,0.0,0.0
39,40,Wed,30-Nov-22,20:00,Stadium 974,Danny Makkelie,Group C,SAUDI ARABIA,MEXICO,44089,0.3,3.5,27,73,1,2,10,25,2,1,1,1,0,1,8,8,6,10,4,15,2,6,26,10,0,0,82,76,269,229,264.0,341.0,827.0,911.0,0.0,10.0,4.0,22.0,8.0,0.0,6.0,11.0,1.0,9.0,5.0,18.0,17.0,13.0,7.0,5.0,7.0,12.0,29.0,9.0,0.0,1.0,0.0,0.0,23.0,22.0,6.0,1.0,0.0,0.0
40,41,Thu,01-Dec-22,16:00,Al Thumama Stadium,Raphael Claus,Group F,CROATIA,BELGIUM,43102,1.4,0.5,58,42,0,0,11,15,0,0,0,0,0,0,5,7,7,12,4,3,4,0,16,11,0,0,70,68,328,346,480.0,573.0,309.0,404.0,0.0,2.0,5.0,6.0,0.0,0.0,14.0,14.0,6.0,2.0,19.0,8.0,13.0,23.0,7.0,12.0,10.0,7.0,8.0,22.0,4.0,4.0,0.0,0.0,9.0,11.0,0.0,1.0,0.0,0.0
41,42,Thu,01-Dec-22,16:00,Ahmed bin Ali Stadium,Anthony Taylor,Group F,CANADA,MOROCCO,43984,0.7,3.0,49,51,1,2,5,7,2,1,0,1,0,1,4,2,4,4,1,3,4,4,7,7,0,1,66,72,224,324,508.0,616.0,545.0,638.0,4.0,3.0,11.0,16.0,3.0,4.0,7.0,9.0,2.0,4.0,21.0,24.0,9.0,14.0,6.0,7.0,10.0,10.0,24.0,25.0,4.0,0.0,0.0,0.0,18.0,18.0,4.0,0.0,0.0,0.0
42,43,Thu,01-Dec-22,20:00,Khalifa International Stadium,Victor Gomes,Group E,JAPAN,SPAIN,44851,1.4,1.0,18,82,2,1,6,14,1,2,1,1,1,0,2,3,4,7,2,7,2,2,14,6,0,0,85,49,637,150,165.0,245.0,995.0,1106.0,3.0,5.0,6.0,12.0,4.0,1.0,9.0,6.0,0.0,2.0,2.0,22.0,11.0,11.0,17.0,3.0,10.0,9.0,26.0,5.0,2.0,2.0,0.0,0.0,8.0,11.0,3.0,0.0,0.0,0.0
43,44,Thu,01-Dec-22,20:00,Al Bayt Stadium,Stephanie Frappart,Group E,COSTA RICA,GERMANY,67054,1.3,5.7,32,68,2,4,8,32,4,2,2,4,0,0,1,17,6,24,2,8,4,3,32,8,0,0,79,77,378,230,274.0,372.0,672.0,773.0,6.0,11.0,8.0,32.0,7.0,4.0,3.0,9.0,1.0,14.0,11.0,32.0,21.0,10.0,8.0,5.0,12.0,9.0,45.0,8.0,4.0,3.0,0.0,0.0,12.0,7.0,1.0,0.0,0.0,0.0
44,45,Fri,02-Dec-22,16:00,Al Janoub Stadium,Daniel Siebert,Group H,GHANA,URUGUAY,43443,1.6,1.8,51,49,0,2,9,12,2,0,0,2,0,0,4,5,4,7,5,5,2,2,12,9,0,0,92,84,248,293,374.0,492.0,365.0,475.0,3.0,6.0,9.0,12.0,4.0,3.0,18.0,11.0,5.0,2.0,23.0,11.0,23.0,23.0,7.0,10.0,11.0,21.0,17.0,22.0,2.0,2.0,0.0,0.0,12.0,20.0,2.0,3.0,0.0,0.0
45,46,Fri,02-Dec-22,16:00,Education City Stadium,Facundo Tello,Group H,KOREA REPUBLIC,PORTUGAL,44097,1.7,1.3,39,61,2,1,12,12,1,2,2,1,0,0,4,6,6,5,6,7,1,5,14,12,0,0,54,50,359,233,301.0,391.0,532.0,623.0,6.0,6.0,13.0,13.0,5.0,4.0,9.0,10.0,5.0,4.0,13.0,18.0,11.0,12.0,8.0,6.0,17.0,9.0,20.0,12.0,1.0,5.0,0.0,0.0,15.0,10.0,2.0,0.0,0.0,0.0
46,47,Fri,02-Dec-22,20:00,Stadium 974,Fernando Rapallini,Group G,SERBIA,SWITZERLAND,41378,1.3,2.7,54,46,2,3,11,14,3,2,2,3,0,0,6,3,10,10,1,4,0,0,14,10,0,0,74,82,276,253,400.0,519.0,343.0,451.0,4.0,7.0,12.0,14.0,4.0,2.0,18.0,14.0,2.0,0.0,22.0,8.0,13.0,10.0,6.0,12.0,19.0,15.0,9.0,18.0,0.0,0.0,0.0,0.0,14.0,18.0,7.0,4.0,0.0,0.0
47,48,Fri,02-Dec-22,20:00,Lusail Iconic Stadium,Ismail Elfath,Group G,CAMEROON,BRAZIL,85986,0.5,2.5,35,65,1,0,7,19,0,1,1,0,0,0,3,11,5,14,2,5,0,1,20,7,0,0,78,54,321,226,247.0,325.0,507.0,594.0,3.0,7.0,7.0,21.0,7.0,2.0,14.0,14.0,3.0,11.0,11.0,27.0,22.0,19.0,10.0,3.0,15.0,9.0,32.0,12.0,0.0,1.0,0.0,0.0,15.0,14.0,5.0,2.0,1.0,0.0
48,49,Sat,03-Dec-22,16:00,Khalifa International Stadium,Wilton Sampaio,Round of 16,NETHERLANDS,UNITED STATES,44846,1.7,1.5,42,58,3,1,11,18,1,3,3,1,0,0,4,4,7,11,4,7,0,3,18,13,0,0,101,77,325,256,332.0,442.0,497.0,623.0,6.0,6.0,11.0,17.0,5.0,3.0,10.0,5.0,4.0,5.0,8.0,27.0,22.0,14.0,12.0,11.0,12.0,11.0,30.0,12.0,0.0,3.0,0.0,0.0,8.0,10.0,2.0,0.0,0.0,0.0
49,50,Sat,03-Dec-22,20:00,Ahmed bin Ali Stadium,Szymon Marciniak,Round of 16,ARGENTINA,AUSTRALIA,45032,1.6,0.6,60,40,2,1,14,5,1,2,2,0,0,0,7,2,11,3,3,2,4,0,5,14,1,0,67,73,240,453,635.0,729.0,384.0,477.0,5.0,1.0,14.0,5.0,1.0,3.0,8.0,15.0,1.0,3.0,5.0,16.0,15.0,11.0,7.0,8.0,13.0,14.0,20.0,10.0,3.0,0.0,0.0,0.0,15.0,11.0,0.0,2.0,0.0,0.0
50,51,Sun,04-Dec-22,16:00,Al Thumama Stadium,Jesús Valenzuela Sáez,Round of 16,FRANCE,POLAND,40989,1.4,1.7,55,45,3,1,16,11,1,3,3,1,0,0,7,5,10,8,6,3,3,1,11,16,0,0,71,64,220,297,501.0,601.0,401.0,490.0,8.0,1.0,16.0,11.0,1.0,5.0,10.0,8.0,7.0,1.0,25.0,16.0,11.0,17.0,9.0,6.0,12.0,11.0,10.0,23.0,3.0,1.0,0.0,1.0,8.0,11.0,1.0,2.0,0.0,0.0
51,52,Sun,04-Dec-22,20:00,Al Bayt Stadium,Ivan Barton,Round of 16,ENGLAND,SENEGAL,65985,1.0,0.8,61,39,3,0,8,10,0,3,3,0,0,0,4,6,7,4,1,6,0,0,10,8,0,0,60,74,230,339,532.0,627.0,315.0,400.0,4.0,1.0,8.0,10.0,1.0,1.0,16.0,12.0,3.0,3.0,15.0,13.0,21.0,11.0,9.0,6.0,9.0,18.0,10.0,17.0,0.0,0.0,0.0,0.0,12.0,16.0,0.0,1.0,0.0,0.0
52,53,Mon,05-Dec-22,16:00,Al Janoub Stadium,Ismail Elfath,Round of 16,JAPAN,CROATIA,42523,1.2,1.4,42,58,1,1,12,16,1,1,1,1,0,0,4,8,5,9,7,7,3,0,18,11,0,0,100,100,405,308,427.0,588.0,650.0,801.0,4.0,4.0,13.0,17.0,3.0,3.0,13.0,16.0,8.0,5.0,28.0,35.0,13.0,14.0,7.0,5.0,25.0,33.0,30.0,32.0,3.0,0.0,0.0,0.0,16.0,16.0,0.0,2.0,0.0,0.0
53,54,Mon,05-Dec-22,20:00,Stadium 974,Clement Turpin,Round of 16,BRAZIL,KOREA REPUBLIC,43847,3.6,0.5,53,47,4,1,18,10,1,4,4,0,0,1,8,2,14,6,4,4,0,5,10,18,0,0,73,81,310,329,560.0,639.0,474.0,563.0,8.0,6.0,17.0,8.0,5.0,5.0,8.0,13.0,5.0,4.0,13.0,14.0,15.0,21.0,12.0,11.0,7.0,12.0,10.0,11.0,0.0,5.0,1.0,0.0,16.0,8.0,0.0,1.0,0.0,0.0
54,55,Tue,06-Dec-22,16:00,Education City Stadium,Fernando Rapallini,Round of 16,MOROCCO,SPAIN,44667,0.7,1.0,24,76,0,0,6,13,0,0,0,0,0,0,3,6,3,9,3,4,5,4,14,6,0,0,100,66,573,217,241.0,352.0,969.0,1088.0,2.0,1.0,6.0,13.0,1.0,2.0,15.0,14.0,0.0,8.0,11.0,26.0,26.0,11.0,8.0,4.0,10.0,14.0,41.0,15.0,5.0,4.0,0.0,0.0,18.0,20.0,1.0,1.0,0.0,0.0
55,56,Tue,06-Dec-22,20:00,Lusail Iconic Stadium,Cesar Ramos,Round of 16,PORTUGAL,SWITZERLAND,83720,2.3,1.2,47,53,6,1,14,10,1,6,6,1,0,0,2,7,9,5,5,5,3,3,10,15,0,0,71,54,357,240,395.0,485.0,442.0,537.0,9.0,2.0,15.0,10.0,1.0,3.0,12.0,10.0,6.0,6.0,14.0,15.0,16.0,5.0,8.0,5.0,10.0,11.0,11.0,14.0,3.0,3.0,0.0,0.0,13.0,15.0,0.0,2.0,0.0,0.0
56,57,Fri,09-Dec-22,16:00,Education City Stadium,Michael Oliver,Quarter-final,CROATIA,BRAZIL,43893,0.6,2.5,50,50,1,1,9,20,1,1,1,1,0,0,4,4,5,12,4,8,3,3,21,9,0,0,95,77,365,423,636.0,741.0,638.0,738.0,1.0,11.0,9.0,21.0,10.0,0.0,22.0,24.0,3.0,7.0,24.0,24.0,28.0,16.0,9.0,13.0,13.0,11.0,32.0,16.0,3.0,3.0,0.0,0.0,27.0,25.0,2.0,3.0,0.0,0.0
57,58,Fri,09-Dec-22,20:00,Lusail Iconic Stadium,Antonio Mateu Lahoz,Quarter-final,NETHERLANDS,ARGENTINA,88235,0.6,1.9,52,48,2,2,5,15,2,2,2,2,0,0,2,8,3,5,2,10,1,2,15,5,0,0,91,79,401,323,572.0,701.0,526.0,642.0,2.0,4.0,6.0,13.0,3.0,0.0,30.0,18.0,2.0,8.0,25.0,12.0,18.0,19.0,15.0,6.0,19.0,12.0,17.0,20.0,1.0,2.0,0.0,1.0,20.0,30.0,4.0,8.0,0.0,0.0
58,59,Sat,10-Dec-22,16:00,Al Thumama Stadium,Facundo Tello,Quarter-final,MOROCCO,PORTUGAL,44198,1.4,0.9,27,73,1,0,9,11,0,1,1,0,0,0,6,6,5,7,4,4,2,2,11,10,0,0,88,44,373,165,187.0,268.0,606.0,731.0,3.0,3.0,9.0,12.0,3.0,2.0,15.0,9.0,3.0,9.0,7.0,35.0,12.0,12.0,9.0,9.0,11.0,13.0,36.0,3.0,2.0,2.0,0.0,0.0,15.0,9.0,4.0,1.0,1.0,0.0
59,60,Sat,10-Dec-22,20:00,Al Bayt Stadium,Wilton Sampaio,Quarter-final,ENGLAND,FRANCE,68895,2.4,0.9,57,43,1,2,14,9,2,1,1,1,0,1,4,3,6,6,8,3,1,2,9,15,0,0,49,54,193,308,463.0,543.0,325.0,409.0,6.0,5.0,14.0,8.0,3.0,6.0,10.0,14.0,5.0,2.0,18.0,11.0,16.0,10.0,8.0,5.0,18.0,19.0,13.0,16.0,1.0,2.0,1.0,0.0,10.0,14.0,1.0,3.0,0.0,0.0
60,61,Tue,13-Dec-22,20:00,Lusail Iconic Stadium,Daniele Orsato,Semi-Final,ARGENTINA,CROATIA,88966,2.3,0.5,40,60,3,0,10,12,0,3,3,0,0,0,2,7,7,6,3,6,1,0,12,10,0,0,85,63,321,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62,Wed,14-Dec-22,20:00,Al Bayt Stadium,Cesar Ramos,Semi-Final,FRANCE,MOROCCO,68294,1.9,0.9,39,61,2,0,14,13,0,2,2,0,0,0,8,6,12,8,2,5,4,3,13,14,0,0,72,47,328,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63,Sat,17-Dec-22,16:00,Khalifa International Stadium,Abdulrahman Ibrahim Al Jassim,Play-off for third place,CROATIA,MOROCCO,44137,0.7,1.2,50,50,2,1,14,7,1,2,2,1,0,0,8,5,7,5,7,2,2,2,7,14,0,0,75,72,288,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,Sun,18-Dec-22,16:00,Lusail Iconic Stadium,Szymon Marciniak,Final,ARGENTINA,FRANCE,88966,3.3,2.2,54,46,3,3,21,10,3,3,3,3,0,0,9,3,10,7,11,3,4,4,11,21,0,0,87,104,280,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
